,prompt,class,environment,weather,amount
2515,A military_ship anchored in a rocky coast during a snowstorm.,military_ship,rocky coast,snowy,Multiple
2516,A military_ship anchored in a rocky coast under foggy weather.,military_ship,rocky coast,foggy,Single
2517,Two military_ships on a rocky coast in foggy weather.,military_ship,rocky coast,foggy,Two
2518,Three military_ships on a rocky coast in foggy weather.,military_ship,rocky coast,foggy,Three
2519,"

A military_ship anchored in a rocky coast under foggy weather.",military_ship,rocky coast,foggy,Multiple
2520,A military_ship anchored in a rocky coast during a windy weather.,military_ship,rocky coast,windy,Single
2521,Two military_ships on a rocky coast in windy weather.,military_ship,rocky coast,windy,Two
2522,Three military_ships on a rocky coast in windy weather.,military_ship,rocky coast,windy,Three
2523,Military ship in a rocky coast during windy weather.,military_ship,rocky coast,windy,Multiple
2524,A military_ship anchored in a rocky coast with clear weather.,military_ship,rocky coast,clear,Single
2525,Two military_ships on a rocky coast with clear weather.,military_ship,rocky coast,clear,Two
2526,Three military_ships on a rocky coast with clear weather.,military_ship,rocky coast,clear,Three
2527,"

A military ship anchored in a rocky coast with clear weather.",military_ship,rocky coast,clear,Multiple
2528,Military ship anchored at cliffside coast under sunny weather.,military_ship,cliffside coast,sunny,Single
2529,Two military_ships on a cliffside coast under sunny weather.,military_ship,cliffside coast,sunny,Two
2530,Three military_ships on a cliffside coast under sunny weather.,military_ship,cliffside coast,sunny,Three
2531,Military ships lined up on a cliffside coast under a sunny sky.,military_ship,cliffside coast,sunny,Multiple
2532,Military ship anchored at cliffside coast under cloudy weather.,military_ship,cliffside coast,cloudy,Single
2533,Two military_ships on a cliffside coast in cloudy weather.,military_ship,cliffside coast,cloudy,Two
2534,Three military_ships on a cliffside coast in cloudy weather.,military_ship,cliffside coast,cloudy,Three
2535,"

Military ships lined up on a cliffside coast under cloudy weather.",military_ship,cliffside coast,cloudy,Multiple
2536,Military ship anchored at cliffside coast during rainy weather.,military_ship,cliffside coast,rainy,Single
2537,Two military_ships on a cliffside coast in the rain.,military_ship,cliffside coast,rainy,Two
2538,Three military_ships on a rainy cliffside coast.,military_ship,cliffside coast,rainy,Three
2539,Military ships lined up on a rainy cliffside coast.,military_ship,cliffside coast,rainy,Multiple
2540,Military ship anchored at cliffside coast amidst stormy weather.,military_ship,cliffside coast,stormy,Single
2541,Two military_ships on a cliffside coast during a stormy weather.,military_ship,cliffside coast,stormy,Two
2542,Three military_ships on a cliffside coast during a stormy weather.,military_ship,cliffside coast,stormy,Three
2543,Military ships lined up on a cliffside coast during a stormy weather.,military_ship,cliffside coast,stormy,Multiple
2544,Military ship anchored at cliffside coast amidst snowy weather.,military_ship,cliffside coast,snowy,Single
2545,Two military_ships on a cliffside coast in a snowy weather.,military_ship,cliffside coast,snowy,Two
2546,Three military_ships on a cliffside coast in a snowy weather.,military_ship,cliffside coast,snowy,Three
2547,Military ships lined up on a cliffside coast in a snowy weather.,military_ship,cliffside coast,snowy,Multiple
2548,Military ship anchored at cliffside coast amidst foggy weather.,military_ship,cliffside coast,foggy,Single
2549,Two military_ships on a cliffside coast in foggy weather.,military_ship,cliffside coast,foggy,Two
2550,Three military_ships on a cliffside coast in foggy weather.,military_ship,cliffside coast,foggy,Three
2551,Military ships lined up on a cliffside coast in a foggy weather.,military_ship,cliffside coast,foggy,Multiple
2552,Military ship anchored at cliffside coast amidst windy weather.,military_ship,cliffside coast,windy,Single
2553,Two military_ships on a cliffside coast in windy weather.,military_ship,cliffside coast,windy,Two
2554,Three military_ships on a cliffside coast in windy weather.,military_ship,cliffside coast,windy,Three
2555,Military ships lined up on a cliffside coast in a windy weather.,military_ship,cliffside coast,windy,Multiple
2556,Military ship anchored at cliffside coast with clear weather.,military_ship,cliffside coast,clear,Single
2557,Two military_ships on a cliffside coast with clear weather.,military_ship,cliffside coast,clear,Two
2558,Three military_ships on a cliffside coast with clear weather.,military_ship,cliffside coast,clear,Three
2559,Military ships lined up on a cliffside coast under clear weather.,military_ship,cliffside coast,clear,Multiple
2560,Military ship on the open sea under sunny weather.,military_ship,open sea,sunny,Single
2561,Two military_ships in the open sea under a sunny sky.,military_ship,open sea,sunny,Two
2562,Three military_ships in the open sea under a sunny sky.,military_ship,open sea,sunny,Three
2563,"

A sunny open sea with multiple military ships anchored.",military_ship,open sea,sunny,Multiple
2564,Military ship on the open sea under cloudy weather.,military_ship,open sea,cloudy,Single
2565,Two military_ships in the open sea under cloudy weather.,military_ship,open sea,cloudy,Two
2566,Three military_ships in the open sea under cloudy weather.,military_ship,open sea,cloudy,Three
2567,"

A military_ship fleet in the open sea under cloudy weather.",military_ship,open sea,cloudy,Multiple
2568,Military ship in the open sea under rainy weather.,military_ship,open sea,rainy,Single
2569,Two military_ships in the open sea under a rainy sky.,military_ship,open sea,rainy,Two
2570,Three military_ships in the open sea under a rainy sky.,military_ship,open sea,rainy,Three
2571,Military ships in the open sea during rainy weather.,military_ship,open sea,rainy,Multiple
2572,Military ship in the open sea during a storm.,military_ship,open sea,stormy,Single
2573,Two military_ships in the open sea during a storm.,military_ship,open sea,stormy,Two
2574,Three military_ships in the open sea during a storm.,military_ship,open sea,stormy,Three
2575,Multiple military_ships in the open sea during a storm.,military_ship,open sea,stormy,Multiple
2576,Military_ship in the open sea under snowy weather.,military_ship,open sea,snowy,Single
2577,Two military_ships in the open sea under snowy weather.,military_ship,open sea,snowy,Two
2578,Three military_ships in the open sea under snowy weather.,military_ship,open sea,snowy,Three
2579,"A military_ship in the open sea, surrounded by ice floes, under a snowy sky.",military_ship,open sea,snowy,Multiple
2580,Military_ship in the open sea under foggy weather.,military_ship,open sea,foggy,Single
2581,Two military_ships in the open sea with foggy weather.,military_ship,open sea,foggy,Two
2582,Three military_ships in the open sea with foggy weather.,military_ship,open sea,foggy,Three
2583,"

A military_ship in the open sea, shrouded in fog.",military_ship,open sea,foggy,Multiple
2584,Military_ship in the open sea under windy conditions.,military_ship,open sea,windy,Single
2585,Two military_ships in the open sea under windy conditions.,military_ship,open sea,windy,Two
2586,Three military_ships in the open sea under windy conditions.,military_ship,open sea,windy,Three
2587,Military ships in the open sea during a windy weather.,military_ship,open sea,windy,Multiple
2588,Military ship in the open sea with clear weather.,military_ship,open sea,clear,Single
2589,Two military_ships in the open sea with clear weather.,military_ship,open sea,clear,Two
2590,Three military_ships in the open sea with clear weather.,military_ship,open sea,clear,Three
2591,"

A military_ship with a clear open sea surrounding it.",military_ship,open sea,clear,Multiple
2592,Military_ship in the deep ocean under sunny weather.,military_ship,deep ocean,sunny,Single
2593,Two military_ships in the deep ocean under sunny weather.,military_ship,deep ocean,sunny,Two
2594,Three military_ships in the deep ocean under sunny weather.,military_ship,deep ocean,sunny,Three
2595,"

A military_ship anchored in the deep ocean under a sunny sky.",military_ship,deep ocean,sunny,Multiple
2596,Military_ship in the deep ocean with cloudy weather.,military_ship,deep ocean,cloudy,Single
2597,Two military_ships in the deep ocean with cloudy weather.,military_ship,deep ocean,cloudy,Two
2598,Three military_ships in the deep ocean with a cloudy weather.,military_ship,deep ocean,cloudy,Three
2599,"

A military_ship in the deep ocean with a cloudy weather.",military_ship,deep ocean,cloudy,Multiple
2600,Military_ship in the deep ocean during rainy weather.,military_ship,deep ocean,rainy,Single
2601,Two military_ships in the deep ocean during rainy weather.,military_ship,deep ocean,rainy,Two
2602,Three military_ships in the deep ocean during rainy weather.,military_ship,deep ocean,rainy,Three
2603,"

A military_ship anchored in the deep ocean during a rainy weather.",military_ship,deep ocean,rainy,Multiple
2604,Military_ship in the deep ocean during a storm.,military_ship,deep ocean,stormy,Single
2605,Two military_ships in the deep ocean during a storm.,military_ship,deep ocean,stormy,Two
2606,Three military_ships in the deep ocean during a storm.,military_ship,deep ocean,stormy,Three
2607,"

A military_ship anchored in the stormy deep ocean, waves crashing against its hull.",military_ship,deep ocean,stormy,Multiple
2608,"A military_ship in the deep ocean, shrouded in snowy weather.",military_ship,deep ocean,snowy,Single
2609,Two military_ships in the deep ocean under a snowy weather.,military_ship,deep ocean,snowy,Two
2610,Three military_ships in the deep ocean under a snowy weather.,military_ship,deep ocean,snowy,Three
2611,"A military_ship in the deep ocean, shrouded in snowy weather.",military_ship,deep ocean,snowy,Multiple
2612,Military_ship in the deep ocean with foggy weather.,military_ship,deep ocean,foggy,Single
2613,Two military_ships in the deep ocean with foggy weather.,military_ship,deep ocean,foggy,Two
2614,Three military_ships in the deep ocean with foggy weather.,military_ship,deep ocean,foggy,Three
2615,"

A military_ship shrouded in foggy depths of the ocean.",military_ship,deep ocean,foggy,Multiple
2616,Military_ship in the deep ocean during windy weather.,military_ship,deep ocean,windy,Single
2617,Two military_ships in the deep ocean during a windy weather.,military_ship,deep ocean,windy,Two
2618,Three military_ships in the deep ocean during a windy weather.,military_ship,deep ocean,windy,Three
2619,Military ships in the deep ocean during a windy weather.,military_ship,deep ocean,windy,Multiple
2620,A military_ship in the deep ocean with clear weather.,military_ship,deep ocean,clear,Single
2621,Two military_ships in the deep ocean with clear weather.,military_ship,deep ocean,clear,Two
2622,Three military_ships in the deep ocean with clear weather.,military_ship,deep ocean,clear,Three
2623,"

A military_ship anchored in the deep ocean with clear weather.",military_ship,deep ocean,clear,Multiple
2624,Military_ship in coastal waters under sunny weather.,military_ship,coastal waters,sunny,Single
2625,Two military_ships in the coastal waters under sunny weather.,military_ship,coastal waters,sunny,Two
2626,Three military_ships in the coastal waters under a sunny sky.,military_ship,coastal waters,sunny,Three
2627,"

Five military ships anchored in calm, sunny coastal waters.",military_ship,coastal waters,sunny,Multiple
2628,Military ship in coastal waters under cloudy weather.,military_ship,coastal waters,cloudy,Single
2629,Two military_ships in the coastal waters under cloudy weather.,military_ship,coastal waters,cloudy,Two
2630,Three military_ships in the coastal waters with a cloudy weather.,military_ship,coastal waters,cloudy,Three
2631,"

Five military_ships anchored in a cloudy coastal waters.",military_ship,coastal waters,cloudy,Multiple
2632,Military ship in coastal waters during rainy weather.,military_ship,coastal waters,rainy,Single
2633,Two military_ships in the coastal waters during rainy weather.,military_ship,coastal waters,rainy,Two
2634,Three military_ships in the coastal waters during rainy weather.,military_ship,coastal waters,rainy,Three
2635,Military ships in a rainy coastal waters.,military_ship,coastal waters,rainy,Multiple
2636,Military ship in coastal waters during stormy weather.,military_ship,coastal waters,stormy,Single
2637,Two military_ships in stormy coastal waters.,military_ship,coastal waters,stormy,Two
2638,Three military_ships in the coastal waters during a storm.,military_ship,coastal waters,stormy,Three
2639,Military ships in a stormy coastal waters.,military_ship,coastal waters,stormy,Multiple
2640,A military_ship in the coastal waters under a snowy sky.,military_ship,coastal waters,snowy,Single
2641,Two military_ships in the coastal waters during a snowstorm.,military_ship,coastal waters,snowy,Two
2642,Three military_ships in the coastal waters during a snowstorm.,military_ship,coastal waters,snowy,Three
2643,Military ships in snowy coastal waters.,military_ship,coastal waters,snowy,Multiple
2644,Military_ship in coastal waters under foggy conditions.,military_ship,coastal waters,foggy,Single
2645,Two military_ships in the coastal waters with foggy weather.,military_ship,coastal waters,foggy,Two
2646,Three military_ships in the coastal waters with foggy weather.,military_ship,coastal waters,foggy,Three
2647,"

Five military_ships in foggy coastal waters.",military_ship,coastal waters,foggy,Multiple
2648,Military_ship in coastal waters during windy weather.,military_ship,coastal waters,windy,Single
2649,Two military_ships in the coastal waters during windy weather.,military_ship,coastal waters,windy,Two
2650,Three military_ships in the coastal waters during a windy weather.,military_ship,coastal waters,windy,Three
2651,Military ships in coastal waters during windy weather.,military_ship,coastal waters,windy,Multiple
2652,A military_ship in the coastal waters on a clear day.,military_ship,coastal waters,clear,Single
2653,Two military_ships in the coastal waters with clear weather.,military_ship,coastal waters,clear,Two
2654,Three military_ships in the coastal waters with clear weather.,military_ship,coastal waters,clear,Three
2655,"

Five military_ships anchored in calm coastal waters under clear skies.",military_ship,coastal waters,clear,Multiple
2656,Military ship in the bay under sunny weather.,military_ship,bay,sunny,Single
2657,Two military_ships in a sunny bay.,military_ship,bay,sunny,Two
2658,Three military_ships in the bay under sunny weather.,military_ship,bay,sunny,Three
2659,"

Five military_ships anchored in the bay under sunny weather.",military_ship,bay,sunny,Multiple
2660,Military ship in the bay with cloudy weather.,military_ship,bay,cloudy,Single
2661,Two military_ships in a bay with cloudy weather.,military_ship,bay,cloudy,Two
2662,Three military_ships in a bay with cloudy weather.,military_ship,bay,cloudy,Three
2663,"

Military ships lined up in a bay, cloudy weather.",military_ship,bay,cloudy,Multiple
2664,Military ship in the bay under rainy weather.,military_ship,bay,rainy,Single
2665,Two military_ships in a bay under rainy weather.,military_ship,bay,rainy,Two
2666,Three military_ships in a bay under rainy weather.,military_ship,bay,rainy,Three
2667,"

Military ships lined up in the bay, rain pouring down, creating a reflective sheen on the water.",military_ship,bay,rainy,Multiple
2668,Military ship in the bay amidst stormy weather.,military_ship,bay,stormy,Single
2669,Two military_ships in a bay amidst stormy weather.,military_ship,bay,stormy,Two
2670,Three military_ships in a bay amidst stormy weather.,military_ship,bay,stormy,Three
2671,"

A military_ship anchored in the bay amidst stormy weather.",military_ship,bay,stormy,Multiple
2672,Military ship in the bay under snowy weather.,military_ship,bay,snowy,Single
2673,Two military_ships in a bay under snowy weather.,military_ship,bay,snowy,Two
2674,Three military_ships in a bay with snowy weather.,military_ship,bay,snowy,Three
2675,"

A military_ship anchored in the bay, surrounded by ice floes. Snow falls gently, blanketing the water and the ship's deck.",military_ship,bay,snowy,Multiple
2676,Military ship in the bay with foggy weather.,military_ship,bay,foggy,Single
2677,Two military_ships in the bay with foggy weather.,military_ship,bay,foggy,Two
2678,Three military_ships in the bay with foggy weather.,military_ship,bay,foggy,Three
2679,"

Foggy bay with multiple military_ships anchored.",military_ship,bay,foggy,Multiple
2680,Military ship in the bay under windy weather.,military_ship,bay,windy,Single
2681,Two military_ships in a bay under windy weather.,military_ship,bay,windy,Two
2682,Three military_ships in a bay with windy weather.,military_ship,bay,windy,Three
2683,"

Military ships lined up in a bay, weather: windy.",military_ship,bay,windy,Multiple
2684,Military ship in the bay with clear weather.,military_ship,bay,clear,Single
2685,Two military_ships in the bay with clear weather.,military_ship,bay,clear,Two
2686,Three military_ships in the bay with clear weather.,military_ship,bay,clear,Three
2687,"

Five military_ships anchored in the clear bay.",military_ship,bay,clear,Multiple
2688,Military ship in the gulf with sunny weather.,military_ship,gulf,sunny,Single
2689,Two military_ships in the gulf under sunny weather.,military_ship,gulf,sunny,Two
2690,Three military_ships in the gulf under sunny weather.,military_ship,gulf,sunny,Three
2691,Military ship convoy in the gulf under sunny weather.,military_ship,gulf,sunny,Multiple
2692,Military ship in the gulf with cloudy weather.,military_ship,gulf,cloudy,Single
2693,Two military_ships in the gulf with cloudy weather.,military_ship,gulf,cloudy,Two
2694,Three military_ships in the gulf with cloudy weather.,military_ship,gulf,cloudy,Three
2695,"

Military ships in the gulf, formation of three, cloudy weather.",military_ship,gulf,cloudy,Multiple
2696,Military ship in the gulf under rainy weather.,military_ship,gulf,rainy,Single
2697,Two military_ships in the gulf during rainy weather.,military_ship,gulf,rainy,Two
2698,Three military_ships in the gulf during rainy weather.,military_ship,gulf,rainy,Three
2699,Military ship convoy in the gulf during rainy weather.,military_ship,gulf,rainy,Multiple
2700,Military ship in the gulf during a stormy weather.,military_ship,gulf,stormy,Single
2701,Two military_ships in the gulf during a stormy weather.,military_ship,gulf,stormy,Two
2702,Three military_ships in the gulf during a stormy weather.,military_ship,gulf,stormy,Three
2703,Military ship convoy in the gulf during a stormy weather.,military_ship,gulf,stormy,Multiple
2704,A military_ship in the gulf under a snowy sky.,military_ship,gulf,snowy,Single
2705,Two military_ships in the gulf under snowy weather.,military_ship,gulf,snowy,Two
2706,Three military_ships in the gulf under snowy weather.,military_ship,gulf,snowy,Three
2707,A military_ship convoy in the gulf under heavy snowfall.,military_ship,gulf,snowy,Multiple
2708,Military ship in the gulf under foggy weather.,military_ship,gulf,foggy,Single
2709,Two military_ships in the gulf with foggy weather.,military_ship,gulf,foggy,Two
2710,Three military_ships in the gulf with foggy weather.,military_ship,gulf,foggy,Three
2711,"

A military_ship in the gulf, shrouded in fog.",military_ship,gulf,foggy,Multiple
2712,Military ship in the gulf under windy weather.,military_ship,gulf,windy,Single
2713,Two military_ships in the gulf under windy conditions.,military_ship,gulf,windy,Two
2714,Three military_ships in the gulf under windy weather.,military_ship,gulf,windy,Three
2715,Military ship convoy in the gulf under windy weather.,military_ship,gulf,windy,Multiple
2716,A military_ship in the gulf with clear weather.,military_ship,gulf,clear,Single
2717,Two military_ships in the gulf with clear weather.,military_ship,gulf,clear,Two
2718,Three military_ships in the gulf with clear weather.,military_ship,gulf,clear,Three
2719,"

A military_ship anchored in the clear gulf waters.",military_ship,gulf,clear,Multiple
2720,Military ship in the estuary on a sunny day.,military_ship,estuary,sunny,Single
2721,Two military_ships in an estuary under sunny weather.,military_ship,estuary,sunny,Two
2722,Three military_ships in an estuary under sunny weather.,military_ship,estuary,sunny,Three
2723,"Military ships in estuary during sunny weather, multiple of five.",military_ship,estuary,sunny,Multiple
2724,Military ship in the estuary during cloudy weather.,military_ship,estuary,cloudy,Single
2725,Two military_ships in an estuary under cloudy weather.,military_ship,estuary,cloudy,Two
2726,Three military_ships in a cloudy estuary.,military_ship,estuary,cloudy,Three
2727,"

Military ships lined up in the cloudy estuary.",military_ship,estuary,cloudy,Multiple
2728,Military ship in the estuary during rainy weather.,military_ship,estuary,rainy,Single
2729,Two military_ships in a rainy estuary.,military_ship,estuary,rainy,Two
2730,Three military_ships in a rainy estuary.,military_ship,estuary,rainy,Three
2731,Military ships in an estuary during rainy weather.,military_ship,estuary,rainy,Multiple
2732,Military ship in the estuary during a storm.,military_ship,estuary,stormy,Single
2733,Two military_ships in the estuary during a storm.,military_ship,estuary,stormy,Two
2734,Three military_ships in the estuary during a storm.,military_ship,estuary,stormy,Three
2735,Military ships in an estuary during a stormy weather.,military_ship,estuary,stormy,Multiple
2736,Military ship in the estuary under snowy weather.,military_ship,estuary,snowy,Single
2737,Two military_ships in an estuary under snowy weather.,military_ship,estuary,snowy,Two
2738,Three military_ships in an estuary under snowy weather.,military_ship,estuary,snowy,Three
2739,Military ships in an estuary during a snowy weather.,military_ship,estuary,snowy,Multiple
2740,Military ship in the estuary under foggy weather.,military_ship,estuary,foggy,Single
2741,Two military_ships in the estuary under foggy conditions.,military_ship,estuary,foggy,Two
2742,Three military_ships in the estuary shrouded in fog.,military_ship,estuary,foggy,Three
2743,"

Foggy estuary with multiple military ships anchored.",military_ship,estuary,foggy,Multiple
2744,Military ship in the estuary during windy weather.,military_ship,estuary,windy,Single
2745,Two military_ships in an estuary during windy weather.,military_ship,estuary,windy,Two
2746,Three military_ships in an estuary during windy weather.,military_ship,estuary,windy,Three
2747,"Military ships in an estuary during windy weather, multiple of five.",military_ship,estuary,windy,Multiple
2748,Military ship in the estuary with clear weather.,military_ship,estuary,clear,Single
2749,Two military_ships in the estuary with clear weather.,military_ship,estuary,clear,Two
2750,Three military_ships in the estuary with clear weather.,military_ship,estuary,clear,Three
2751,"

Clear day in an estuary. Multiple military ships anchored.",military_ship,estuary,clear,Multiple
2752,Military ship in a sunny river.,military_ship,river,sunny,Single
2753,Two military_ships in a sunny river.,military_ship,river,sunny,Two
2754,Three military_ships in a sunny river.,military_ship,river,sunny,Three
2755,"

Military ships lined up in a sunny river.",military_ship,river,sunny,Multiple
2756,Military ship in a cloudy river.,military_ship,river,cloudy,Single
2757,Two military_ships in a cloudy river.,military_ship,river,cloudy,Two
2758,Three military_ships in a cloudy river.,military_ship,river,cloudy,Three
2759,"

Military ships lined up in a cloudy river.",military_ship,river,cloudy,Multiple
2760,Military ship in the river during rainy weather.,military_ship,river,rainy,Single
2761,Two military_ships in a river during rainy weather.,military_ship,river,rainy,Two
2762,Three military_ships in a river during rainy weather.,military_ship,river,rainy,Three
2763,Military ships in a river during rainy weather.,military_ship,river,rainy,Multiple
2764,Military ship in a river during a storm.,military_ship,river,stormy,Single
2765,Two military_ships in a river during a storm.,military_ship,river,stormy,Two
2766,Three military_ships in a river during a storm.,military_ship,river,stormy,Three
2767,Military ships in a river during a storm.,military_ship,river,stormy,Multiple
2768,Military ship in a snowy river.,military_ship,river,snowy,Single
2769,Two military_ships in a snowy river.,military_ship,river,snowy,Two
2770,Three military_ships in a snowy river.,military_ship,river,snowy,Three
2771,Military ships lined up in a snowy river.,military_ship,river,snowy,Multiple
2772,Military ship in a river with foggy weather.,military_ship,river,foggy,Single
2773,Two military_ships in a foggy river.,military_ship,river,foggy,Two
2774,Three military_ships in a foggy river.,military_ship,river,foggy,Three
2775,"Military ships, multiple, in a foggy river.",military_ship,river,foggy,Multiple
2776,Military ship in a river during windy weather.,military_ship,river,windy,Single
2777,Two military_ships in a winding river under windy weather.,military_ship,river,windy,Two
2778,Three military_ships in a winding river under windy weather.,military_ship,river,windy,Three
2779,Military ships lined up in a river during windy weather.,military_ship,river,windy,Multiple
2780,Military ship in a clear river.,military_ship,river,clear,Single
2781,Two military_ships in a clear river.,military_ship,river,clear,Two
2782,Three military_ships in a clear river.,military_ship,river,clear,Three
2783,"

A military_ship anchored in a clear river.",military_ship,river,clear,Multiple
2784,Military ship in the canal under sunny weather.,military_ship,canal,sunny,Single
2785,Two military_ships in a sunny canal.,military_ship,canal,sunny,Two
2786,Three military_ships in a sunny canal.,military_ship,canal,sunny,Three
2787,"

Military ships lined up in a sunny canal.",military_ship,canal,sunny,Multiple
2788,Military ship in the canal during cloudy weather.,military_ship,canal,cloudy,Single
2789,Two military_ships in a canal with cloudy weather.,military_ship,canal,cloudy,Two
2790,Three military_ships in a canal with cloudy weather.,military_ship,canal,cloudy,Three
2791,"

Military ships lined up in a cloudy canal.",military_ship,canal,cloudy,Multiple
2792,Military ship in the canal during rainy weather.,military_ship,canal,rainy,Single
2793,Two military_ships in a rainy canal.,military_ship,canal,rainy,Two
2794,Three military_ships in a rainy canal.,military_ship,canal,rainy,Three
2795,Military ships in a rainy canal.,military_ship,canal,rainy,Multiple
2796,Military ship in a stormy canal.,military_ship,canal,stormy,Single
2797,Two military_ships in a canal during a storm.,military_ship,canal,stormy,Two
2798,Three military_ships in a canal during a storm.,military_ship,canal,stormy,Three
2799,Military ships in a canal during a stormy weather.,military_ship,canal,stormy,Multiple
2800,Military ship in the canal during snowy weather.,military_ship,canal,snowy,Single
2801,Two military_ships in a snowy canal.,military_ship,canal,snowy,Two
2802,Three military_ships in a snowy canal.,military_ship,canal,snowy,Three
2803,Military ship convoy in a snowy canal.,military_ship,canal,snowy,Multiple
2804,Military ship in the canal with foggy weather.,military_ship,canal,foggy,Single
2805,Two military_ships in a canal with foggy weather.,military_ship,canal,foggy,Two
2806,Three military_ships in a canal with foggy weather.,military_ship,canal,foggy,Three
2807,"

Military ships lined up in a foggy canal.",military_ship,canal,foggy,Multiple
2808,Military ship in the canal during windy weather.,military_ship,canal,windy,Single
2809,Two military_ships in a canal during windy weather.,military_ship,canal,windy,Two
2810,Three military_ships in a canal during windy weather.,military_ship,canal,windy,Three
2811,Military ships in a canal during windy weather.,military_ship,canal,windy,Multiple
2812,Military ship in the canal with clear weather.,military_ship,canal,clear,Single
2813,Two military_ships in a canal with clear weather.,military_ship,canal,clear,Two
2814,Three military_ships in a clear canal.,military_ship,canal,clear,Three
2815,"

A military_ship convoy of five in the clear canal.",military_ship,canal,clear,Multiple
2816,Military_ship on a calm lake under the sun.,military_ship,lake,sunny,Single
2817,Two military_ships in a sunny lake.,military_ship,lake,sunny,Two
2818,Three military_ships in a sunny lake.,military_ship,lake,sunny,Three
2819,"

Five military ships anchored in a tranquil sunny lake.",military_ship,lake,sunny,Multiple
2820,Military_ship on a lake under cloudy weather.,military_ship,lake,cloudy,Single
2821,Two military_ships in a cloudy lake.,military_ship,lake,cloudy,Two
2822,Three military_ships in a cloudy lake.,military_ship,lake,cloudy,Three
2823,"

Five military_ships in a cloudy lake.",military_ship,lake,cloudy,Multiple
2824,Military_ship in a lake under rainy weather.,military_ship,lake,rainy,Single
2825,Two military_ships in a rainy lake.,military_ship,lake,rainy,Two
2826,Three military_ships in a rainy lake.,military_ship,lake,rainy,Three
2827,"

Five military_ships in a rain-soaked lake.",military_ship,lake,rainy,Multiple
2828,Military_ship on a lake during a storm.,military_ship,lake,stormy,Single
2829,Two military_ships in a lake during a storm.,military_ship,lake,stormy,Two
2830,Three military_ships in a stormy lake.,military_ship,lake,stormy,Three
2831,"

A military_ship fleet in a stormy lake.",military_ship,lake,stormy,Multiple
2832,A military_ship in a lake under a snowy weather.,military_ship,lake,snowy,Single
2833,Two military_ships in a snowy lake.,military_ship,lake,snowy,Two
2834,Three military_ships in a snowy lake.,military_ship,lake,snowy,Three
2835,"

Five military_ships in a snowy lake.",military_ship,lake,snowy,Multiple
2836,Military_ship in a lake under foggy weather.,military_ship,lake,foggy,Single
2837,Two military_ships in a foggy lake.,military_ship,lake,foggy,Two
2838,Three military_ships in a foggy lake.,military_ship,lake,foggy,Three
2839,"

Five military_ships in a foggy lake.",military_ship,lake,foggy,Multiple
2840,Military_ship on a lake under windy weather.,military_ship,lake,windy,Single
2841,Two military_ships in a windy lake.,military_ship,lake,windy,Two
2842,Three military_ships in a windy lake.,military_ship,lake,windy,Three
2843,"

Five military_ships anchored in a windy lake.",military_ship,lake,windy,Multiple
2844,Military_ship on a clear lake.,military_ship,lake,clear,Single
2845,Two military_ships in a clear lake.,military_ship,lake,clear,Two
2846,Three military_ships in a clear lake.,military_ship,lake,clear,Three
2847,"

Five military_ships anchored in a clear lake.",military_ship,lake,clear,Multiple
2848,Military_ship in a lagoon under sunny weather.,military_ship,lagoon,sunny,Single
2849,Two military_ships in a sunny lagoon.,military_ship,lagoon,sunny,Two
2850,Three military_ships in a sunny lagoon.,military_ship,lagoon,sunny,Three
2851,"

Five military ships anchored in a sunny lagoon.",military_ship,lagoon,sunny,Multiple
2852,Military_ship in a military lagoon under cloudy weather.,military_ship,lagoon,cloudy,Single
2853,Two military_ships in a cloudy lagoon.,military_ship,lagoon,cloudy,Two
2854,Three military_ships in a cloudy lagoon.,military_ship,lagoon,cloudy,Three
2855,"

Cloudy lagoon with multiple military ships anchored.",military_ship,lagoon,cloudy,Multiple
2856,Military_ship in a lagoon during rainy weather.,military_ship,lagoon,rainy,Single
2857,Two military_ships in a lagoon during rainy weather.,military_ship,lagoon,rainy,Two
2858,Three military_ships in a rainy lagoon.,military_ship,lagoon,rainy,Three
2859,"

Military ships in a rainy lagoon.",military_ship,lagoon,rainy,Multiple
2860,Military_ship in a lagoon during a storm.,military_ship,lagoon,stormy,Single
2861,Two military_ships in a lagoon during a stormy weather.,military_ship,lagoon,stormy,Two
2862,Three military_ships in a lagoon during a stormy weather.,military_ship,lagoon,stormy,Three
2863,"

Military ships in a lagoon during a stormy weather.",military_ship,lagoon,stormy,Multiple
2864,Military_ship in a lagoon under snowy weather.,military_ship,lagoon,snowy,Single
2865,Two military_ships in a lagoon under snowy weather.,military_ship,lagoon,snowy,Two
2866,Three military_ships in a lagoon under snowy weather.,military_ship,lagoon,snowy,Three
2867,"

Military ships huddled together in a snowy lagoon.",military_ship,lagoon,snowy,Multiple
2868,Military_ship in a lagoon under foggy weather.,military_ship,lagoon,foggy,Single
2869,Two military_ships in a lagoon shrouded in fog.,military_ship,lagoon,foggy,Two
2870,Three military_ships in a lagoon shrouded in fog.,military_ship,lagoon,foggy,Three
2871,"

Foggy lagoon with multiple military ships.",military_ship,lagoon,foggy,Multiple
2872,Military_ship in a military lagoon under windy weather.,military_ship,lagoon,windy,Single
2873,Two military_ships in a windy lagoon.,military_ship,lagoon,windy,Two
2874,Three military_ships in a windy lagoon.,military_ship,lagoon,windy,Three
2875,"

Military ships anchored in a windy lagoon.",military_ship,lagoon,windy,Multiple
